component,explained_variance_ratio,cumulative_explained_variance
75,0.0018811763170718467,0.9066850689669719
76,0.001874241394760525,0.9085593103617324
77,0.0018405310802035346,0.910399841441936
78,0.0018139285604946572,0.9122137700024306
79,0.0017861571179153054,0.913999927120346
80,0.0017719593158953251,0.9157718864362413
81,0.001758042294866927,0.9175299287311083
82,0.0017040876402085207,0.9192340163713169
83,0.0016712931606651588,0.920905309531982
84,0.0016377655445068506,0.9225430750764889
85,0.0015824118696150323,0.924125486946104
86,0.0015642694498804882,0.9256897563959845
87,0.0015305770575353198,0.9272203334535198
88,0.001511527170708733,0.9287318606242285
89,0.0015069324251947163,0.9302387930494233
90,0.0014454796479174284,0.9316842726973407
91,0.0014377967099973505,0.933122069407338
92,0.0013976219109202638,0.9345196913182583
93,0.0013851019115139406,0.9359047932297723
94,0.0013650542285831768,0.9372698474583554
95,0.0013365731558233507,0.9386064206141788
96,0.0013273109064770759,0.9399337315206558
97,0.001311345869740354,0.9412450773903962
98,0.001291404339939443,0.9425364817303357
99,0.0012733458262961922,0.9438098275566319
100,0.00124002285936172,0.9450498504159937
101,0.0012149904980244275,0.9462648409140181
102,0.0011880556182059952,0.9474528965322241
103,0.0011769995137600677,0.9486298960459841
104,0.001155960666780796,0.9497858567127649
105,0.0011533273189922835,0.9509391840317573
106,0.0011356381635073498,0.9520748221952646
107,0.0011315406120824454,0.953206362807347
108,0.0011061646150488998,0.9543125274223959
109,0.0011023028274659802,0.9554148302498618
110,0.00107267855251895,0.9564875088023808
111,0.0010670380185396153,0.9575545468209203
112,0.001054020654338372,0.9586085674752587
113,0.0010253827784923904,0.9596339502537511
114,0.0010230469667516944,0.9606569972205028
115,0.000999040175823317,0.9616560373963261
116,0.000997126908104212,0.9626531643044303
117,0.0009790130904196316,0.9636321773948499
118,0.0009645462973351724,0.9645967236921851
119,0.000955584063208978,0.965552307755394
120,0.0009258179195128414,0.9664781256749069
121,0.0009241114002698868,0.9674022370751768
122,0.000901665376322419,0.9683039024514992
123,0.0008629253746198818,0.9691668278261191
124,0.000840191191116789,0.9700070190172358
125,0.0008124397380327693,0.9708194587552686
126,0.0007994239258450246,0.9716188826811136
127,0.0007717687787806154,0.9723906514598942
128,0.0007629650487132567,0.9731536165086074
129,0.0007483798372625728,0.97390199634587
130,0.0007404594049081971,0.9746424557507782
131,0.0007318758283351739,0.9753743315791135
132,0.000724486061177638,0.976098817640291
133,0.0006976248763285882,0.9767964425166197
134,0.00067084465855712,0.9774672871751768
135,0.000649643427703543,0.9781169306028804
136,0.0006443339585308263,0.9787612645614112
137,0.0006311954401793442,0.9793924600015905
138,0.0006249811164983078,0.9800174411180889
139,0.0006033067415341828,0.980620747859623
140,0.0005842953580515405,0.9812050432176745
141,0.0005778636885619427,0.9817829069062365
142,0.0005626707173127561,0.9823455776235492
143,0.0005530678433196663,0.9828986454668689
144,0.0005461089562379974,0.9834447544231069
145,0.0005210751589139305,0.9839658295820208
146,0.0005050511785573899,0.9844708807605782
147,0.000493266275188875,0.9849641470357671
